Date,Source of Income,Description,Amount (IDR),Program / Division
2024-01-15,Sponsorship,Sponsorship from Company XYZ for PRN Festival,5000000,PRN Festival
2024-01-20,Collaboration Cost,Collaboration fee from partner for Level Up! x HIPPO,2500000,Level Up! x HIPPO
2024-02-01,Creative Income,Creative services revenue for BRAND campaign,3500000,BRAND
2024-02-10,Sponsorship,Sponsorship from ABC Corp for Inside Insight,3000000,Inside Insight
2024-02-15,Investment,Investment return from previous period,2000000,General
2024-03-01,Collaboration Cost,Collaboration fee for PRN Bazaar,1500000,PRN Bazaar
2024-03-10,Sponsorship,Gold sponsor for PRN Festival,10000000,PRN Festival
2024-03-15,Creative Income,Creative income from HIHI project,4000000,HIHI
2024-03-20,Sponsorship,Sponsorship for PERMADANI event,1000000,PERMADANI
2024-04-01,Collaboration Cost,Silver collaboration for Level Up! x HIPPO,5000000,Level Up! x HIPPO
2024-04-10,Creative Income,Creative services for BRAND campaign,6000000,BRAND
2024-04-15,Investment,Investment income from savings,2000000,General
2024-04-20,Sponsorship,Sponsorship for Inside Insight,2500000,Inside Insight
2024-05-01,Collaboration Cost,Collaboration fee for PRN Festival,15000000,PRN Festival
2024-05-10,Creative Income,Creative income from HIHI project,2000000,HIHI
2024-05-15,Sponsorship,Sponsorship for PRN Bazaar,3000000,PRN Bazaar
2024-05-20,Investment,Investment return,1500000,General
