Date,Expense Category,Description,Amount (IDR),Program / Division
2024-01-20,Venue,Venue rental for PRN Festival,3000000,PRN Festival
2024-01-25,Consumption,Food and beverages for board meeting,500000,General
2024-02-01,Logistics,Event materials and decorations for Level Up! x HIPPO,1500000,Level Up! x HIPPO
2024-02-05,Speaker Fee,Keynote speaker honorarium for Inside Insight,2000000,Inside Insight
2024-02-10,Publication,Design and printing for BRAND campaign,800000,BRAND
2024-02-15,Equipment,AV equipment rental for HIHI,1200000,HIHI
2024-02-20,Consumption,Catering for PRN Bazaar (50 pax),2500000,PRN Bazaar
2024-03-01,Logistics,Transportation for PRN Festival setup,600000,PRN Festival
2024-03-05,Publication,Social media advertising for BRAND,1500000,BRAND
2024-03-10,Speaker Fee,Guest speaker honorarium for Inside Insight,1500000,Inside Insight
2024-03-15,Venue,Venue rental for PERMADANI event,2000000,PERMADANI
2024-03-20,Consumption,Refreshments for Level Up! x HIPPO,800000,Level Up! x HIPPO
2024-04-01,Equipment,Photography and videography for PRN Festival,3000000,PRN Festival
2024-04-05,Logistics,PRN Festival stage and sound system,4000000,PRN Festival
2024-04-10,Consumption,Gala dinner for PRN Festival (200 pax),8000000,PRN Festival
2024-04-15,Publication,Event brochure for PRN Festival,1200000,PRN Festival
2024-04-20,Speaker Fee,Multiple speaker honorariums for PRN Festival,5000000,PRN Festival
2024-05-01,Equipment,Equipment rental for PRN Bazaar,2500000,PRN Bazaar
2024-05-05,Consumption,PRN Bazaar refreshments,1500000,PRN Bazaar
2024-05-10,Logistics,General office supplies,500000,General
2024-05-15,Publication,Design materials for HIHI,1800000,HIHI
2024-05-20,Venue,Venue rental for BRAND event,2200000,BRAND
2024-05-25,Equipment,Photography equipment for BRAND campaign,2500000,BRAND
2024-05-28,Logistics,Event setup and logistics for BRAND,1800000,BRAND
2024-06-01,Consumption,Catering for BRAND launch event,3200000,BRAND
2024-06-05,Speaker Fee,Keynote speaker for BRAND event,2800000,BRAND
